Name,Url,Location,din_rev,del_rev,category,Cuisine_offered,cost_for_two,is_vegeterian,is_bar_available,home_delivery,offers_dining,avg_din_rate,avg_del_rate
Kesari Kitchen,https://www.zomato.com/jaipur/kesari-kitchen-sodala,West Jaipur,Does not offer Dining,Not enough Delivery Reviews,,North Indian,300,no,no,yes,no,,
Keshav Fresh,https://www.zomato.com/jaipur/keshav-fresh-tonk-road,Tonk Phatak,15 Dining Reviews,Does not offer Delivery,Sweet Shop ,Mithai,350,yes,no,no,yes,3.7,
Keshwani's New Take Away,https://www.zomato.com/jaipur/keshwanis-new-take-away-chitrakoot,Chitrakoot,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Fast Food",600,no,no,yes,no,,
Ketli Restaurant,https://www.zomato.com/jaipur/ketli-restaurant-malviya-nagar,Malviya Nagar,743 Dining Reviews,176 Delivery Reviews,Casual Dining ,"North Indian, Chinese, Fast Food, Italian",700,no,no,yes,yes,4,3.4
Keventers - Milkshakes & Ice Creams,https://www.zomato.com/jaipur/keventers-milkshakes-ice-creams-c-scheme,C Scheme,123 Dining Reviews,"1,545 Delivery Reviews",Beverage Shop ,"Beverages, Desserts, Ice Cream",400,yes,no,yes,yes,3.9,4.3
Keventers - Milkshakes & Ice Creams,https://www.zomato.com/jaipur/keventers-milkshakes-ice-creams-malviya-nagar,Malviya Nagar,Does not offer Dining,619 Delivery Reviews,Food Court ,"Beverages, Desserts, Ice Cream",400,yes,no,yes,no,,4.2
Keventers - Milkshakes & Ice Creams,https://www.zomato.com/jaipur/keventers-milkshakes-ice-creams-1-malviya-nagar,Malviya Nagar,Does not offer Dining,"1,304 Delivery Reviews","Beverage Shop, Dessert Parlor ","Beverages, Desserts, Ice Cream",400,yes,no,yes,no,,4.1
KFB,https://www.zomato.com/jaipur/kfb-khatipura-road,Khatipura Road,Does not offer Dining,Not enough Delivery Reviews,,"Bakery, Fast Food",200,no,no,yes,no,,
KFC,https://www.zomato.com/jaipur/kfc-1-malviya-nagar,Malviya Nagar,"1,122 Dining Reviews","6,239 Delivery Reviews",Food Court ,"Burger, Fast Food, Beverages",450,no,no,yes,yes,4.1,3.8
KGN Bakers And Cafe,https://www.zomato.com/jaipur/kgn-bakers-and-cafe-sikar-road,Sikar Road,53 Dining Reviews,387 Delivery Reviews,"Bakery, Quick Bites ","Bakery, Sandwich, Pizza, Fast Food",250,yes,no,yes,yes,3.7,4.2
KGN Biryani House,https://www.zomato.com/jaipur/kgn-biryani-house-mi-road,MI Road,6 Dining Reviews,Does not offer Delivery,Quick Bites ,Biryani,200,no,no,no,yes,2.6,
KGN Fast Food N Roll,https://www.zomato.com/jaipur/kgn-fast-food-n-roll-jhotwara,Jhotwara,Does not offer Dining,21 Delivery Reviews,,"Rolls, Chinese, Momos, Fast Food",250,no,no,yes,no,,2.6
Khaas Kadhai,https://www.zomato.com/jaipur/khaas-kadhai-chitrakoot,Chitrakoot,Does not offer Dining,130 Delivery Reviews,,"North Indian, Chinese, Fast Food, Street Food, Beverages",500,no,no,yes,no,,3.6
Khalsa Tiffin Center,https://www.zomato.com/jaipur/khalsa-tiffin-center-vaishali-nagar,Vaishali Nagar,7 Dining Reviews,Does not offer Delivery,,North Indian,150,yes,no,no,yes,2.8,
Khamma Ghani Restaurant,https://www.zomato.com/jaipur/khamma-ghani-restaurant-1-ajmer-highway,Ajmer Highway,23 Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, Rajasthani",250,yes,no,no,yes,3.3,
Khan Fried Palace,https://www.zomato.com/jaipur/khan-fried-palace-pink-city,Pink City,144 Dining Reviews,660 Delivery Reviews,Quick Bites ,Fast Food,300,no,no,yes,yes,3.9,4.1
Khana Khajana Restaurant,https://www.zomato.com/jaipur/khana-khajana-restaurant-tonk-road,Pratap Nagar,Does not offer Dining,186 Delivery Reviews,,"North Indian, Chinese",300,no,no,yes,no,,3
Khana Khazana,https://www.zomato.com/jaipur/khana-khazana-tonk-road,Pratap Nagar,81 Dining Reviews,575 Delivery Reviews,Quick Bites ,"North Indian, Chinese",350,yes,no,yes,yes,3.5,3.9
Khana Khazana,https://www.zomato.com/jaipur/khana-khazana-vaishali-nagar,Vaishali Nagar,Does not offer Dining,62 Delivery Reviews,,"North Indian, Chinese, Fast Food",350,no,no,yes,no,,3.4
Khana Khazana Mom Made Food,https://www.zomato.com/jaipur/khana-khazana-mom-made-food-ajmer-highway,Ajmer Highway,14 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,400,no,no,yes,yes,3.5,
Khana Lababdar,https://www.zomato.com/jaipur/khana-lababdar-ajmer-highway,Ajmer Highway,18 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"South Indian, North Indian, Chinese",200,yes,no,yes,yes,3.2,
Khandela Haveli Restaurant,https://www.zomato.com/jaipur/khandela-haveli-restaurant-bani-park,Bani Park,20 Dining Reviews,Does not offer Delivery,Casual Dining ,North Indian,"1,500",no,yes,no,yes,3.5,
Khandelwal Dal Bati,https://www.zomato.com/jaipur/khandelwal-dal-bati-tonk-road,Sanganer,15 Dining Reviews,98 Delivery Reviews,Quick Bites ,North Indian,300,no,no,yes,yes,3.3,3.2
Khandelwal Dhaba,https://www.zomato.com/jaipur/khandelwal-dhaba-vidhyadhar-nagar,Vidhyadhar Nagar,"1,348 Dining Reviews",22.3K Delivery Reviews,Dhaba ,North Indian,400,yes,no,yes,yes,3.9,3.7
Khandelwal Dhaba,https://www.zomato.com/jaipur/khandelwal-dhaba-sodala,Sodala,202 Dining Reviews,12.5K Delivery Reviews,Dhaba ,North Indian,400,yes,no,yes,yes,3.8,3.5
Khandelwal Dhaba,https://www.zomato.com/jaipur/khandelwal-dhaba-1-sodala,Sodala,6 Dining Reviews,Not enough Delivery Reviews,Dhaba ,North Indian,300,yes,no,yes,yes,2.4,
Khandelwal Dhaba,https://www.zomato.com/jaipur/khandelwal-dhaba-tonk-road,Sanganer,286 Dining Reviews,"7,167 Delivery Reviews",Dhaba ,North Indian,300,yes,no,yes,yes,3.9,3.2
Khandelwal Dhaba,https://www.zomato.com/jaipur/khandelwal-dhaba-1-tonk-road,Pratap Nagar,32 Dining Reviews,944 Delivery Reviews,Quick Bites ,North Indian,300,yes,no,yes,yes,3.4,3.6
Khandelwal Dhaba,https://www.zomato.com/jaipur/khandelwal-dhaba-2-tonk-road,Sanganer,32 Dining Reviews,Does not offer Delivery,Quick Bites ,"North Indian, South Indian",400,yes,no,no,yes,3.6,
Khandelwal Dhaba,https://www.zomato.com/jaipur/khandelwal-dhaba-3-tonk-road,Sanganer,16 Dining Reviews,497 Delivery Reviews,Quick Bites ,North Indian,250,no,no,yes,yes,3.1,3.2
Khandelwal Dhaba,https://www.zomato.com/jaipur/khandelwal-dhaba-jhotwara,Jhotwara,15 Dining Reviews,461 Delivery Reviews,Quick Bites ,North Indian,350,yes,no,yes,yes,2.7,3.9
Khandelwal Dhaba- Alwar Wale,https://www.zomato.com/jaipur/khandelwal-dhaba-alwar-wale-jagatpura,Jagatpura,Does not offer Dining,130 Delivery Reviews,,"North Indian, Chinese, Italian, Fast Food, Desserts, Beverages",250,yes,no,yes,no,,3.4
Khandelwal Dhaba Baandikui Wale,https://www.zomato.com/jaipur/khandelwal-dhaba-baandikui-wale-sikar-road,Sikar Road,203 Dining Reviews,"4,058 Delivery Reviews",Quick Bites ,North Indian,450,no,no,yes,yes,3.7,4
Khandelwal Dhaba Purana Wala,https://www.zomato.com/jaipur/khandelwal-dhaba-purana-wala-sikar-road,Sikar Road,326 Dining Reviews,"2,613 Delivery Reviews",Quick Bites ,"North Indian, Chinese, Fast Food",450,no,no,yes,yes,4,4
Khandelwal Dhaba Since 1985,https://www.zomato.com/jaipur/khandelwal-dhaba-since-1985-tonk-road,Sanganer,85 Dining Reviews,"3,015 Delivery Reviews",Quick Bites ,"North Indian, Chinese, Biryani",400,yes,no,yes,yes,3.3,3
Khandelwal Foods,https://www.zomato.com/jaipur/khandelwal-foods-sikar-road,Sikar Road,178 Dining Reviews,353 Delivery Reviews,Casual Dining ,"North Indian, Chinese",500,no,no,yes,yes,3.9,4.3
Khandelwal Pavitra Bhojanalaya,https://www.zomato.com/jaipur/khandelwal-pavitra-bhojanalaya-gopalbari,Gopalbari,18 Dining Reviews,Does not offer Delivery,Dhaba ,North Indian,400,yes,no,no,yes,2.6,
Khandelwal Pavitra Bhojnalaya,https://www.zomato.com/jaipur/khandelwal-pavitra-bhojnalaya-sindhi-camp,Sindhi Camp,179 Dining Reviews,"6,860 Delivery Reviews",Dhaba ,North Indian,400,no,no,yes,yes,3.6,4.1
